101 EQSim_Input_Friction_2 1
102 End_Metadata
120 200 summary 4    Record 200: Fault friction summary
121 1 n_element 1    Field 1: Total number of elements in the file
121 2 elastic_flag 1    Field 2: 1 if elastic parameters (record 201) are included, 0 if not
121 3 strength_flag 1    Field 3: 1 if fault strength (record 202) is included, 0 if not
121 4 rate_state_flag 1    Field 4: 1 if rate-state parameters (record 203) are included, 0 if not
120 201 elastic_param 2    Record 201: Elastic parameters
121 1 lame_lambda 2    Field 1: Lame modulus lambda (Pascal)
121 2 lame_mu 2    Field 2: Lame modulus mu, also known as the shear modulus (Pascal)
120 202 fault_strength 3    Record 202: Fault strength
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 static_strength 2    Field 2: Element static yield strength (Pascal)
121 3 dynamic_strength 2    Field 3: Element dynamic sliding strength (Pascal)
120 203 rate_state 6    Record 203: Rate-state parameters
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 A 2    Field 2: Element rate-state parameter A
121 3 B 2    Field 3: Element rate-state parameter B
121 4 L 2    Field 4: Element rate-state characteristic distance L (meters)
121 5 f0 2    Field 5: Element rate-state friction coefficient f0
121 6 V0 2    Field 6: Element rate-state reference velocity V0 (meters/second)
103 End_Descriptor
200 21833 1 1 0
202 556 2.2616e+07 0
202 557 2.2616e+07 0
202 558 2.2616e+07 0
202 559 2.2616e+07 0
202 560 2.2616e+07 0
202 561 2.2616e+07 0
202 562 2.2616e+07 0
202 563 2.2616e+07 0
202 564 2.2616e+07 0
202 565 2.2616e+07 0
202 566 2.2616e+07 0
202 567 2.2616e+07 0
202 568 2.2616e+07 0
202 569 2.2616e+07 0
202 570 2.2616e+07 0
202 571 2.2616e+07 0
202 572 2.2616e+07 0
202 573 2.2616e+07 0
202 574 2.2616e+07 0
202 575 2.2616e+07 0
202 576 2.2616e+07 0
202 577 2.2616e+07 0
202 578 2.2616e+07 0
202 579 2.2616e+07 0
202 580 2.2616e+07 0
202 581 2.2616e+07 0
202 582 2.2616e+07 0
202 583 2.2616e+07 0
202 584 2.2616e+07 0
202 585 2.2616e+07 0
202 586 2.2616e+07 0
202 587 2.2616e+07 0
202 588 2.2616e+07 0
202 589 2.2616e+07 0
202 590 2.2616e+07 0
202 591 2.2616e+07 0
202 592 2.2616e+07 0
202 593 2.2616e+07 0
202 594 2.2616e+07 0
202 595 2.2616e+07 0
202 596 2.2616e+07 0
202 597 2.2616e+07 0
202 598 2.2616e+07 0
202 599 2.2616e+07 0
202 600 2.2616e+07 0
202 601 2.2616e+07 0
202 602 2.2616e+07 0
202 603 2.2616e+07 0
202 604 2.2616e+07 0
202 605 2.2616e+07 0
202 606 2.2616e+07 0
202 607 2.2616e+07 0
202 608 2.2616e+07 0
202 609 2.2616e+07 0
202 610 2.2616e+07 0
202 611 2.2616e+07 0
202 612 2.2616e+07 0
202 613 2.2616e+07 0
202 614 2.2616e+07 0
202 615 2.2616e+07 0
202 616 2.2616e+07 0
202 617 2.2616e+07 0
202 618 2.2616e+07 0
202 619 2.2616e+07 0
202 620 2.2616e+07 0
202 621 2.2616e+07 0
202 622 2.2616e+07 0
202 623 2.2616e+07 0
202 624 2.2616e+07 0
202 625 2.2616e+07 0
202 626 2.2616e+07 0
202 627 2.2616e+07 0
202 628 2.2616e+07 0
202 629 2.2616e+07 0
202 630 2.2616e+07 0
202 631 2.2616e+07 0
202 632 2.2616e+07 0
202 633 2.2616e+07 0
202 634 2.2616e+07 0
202 635 2.2616e+07 0
202 636 2.2616e+07 0
202 637 2.2616e+07 0
202 638 2.2616e+07 0
202 639 2.2616e+07 0
202 640 2.2616e+07 0
202 641 2.2616e+07 0
202 642 2.2616e+07 0
202 643 2.2616e+07 0
202 644 2.2616e+07 0
202 645 2.2616e+07 0
202 646 2.2616e+07 0
202 647 2.2616e+07 0
202 648 2.2616e+07 0
202 649 2.2616e+07 0
202 650 2.2616e+07 0
202 651 2.2616e+07 0
202 652 2.2616e+07 0
202 653 2.2616e+07 0
202 654 2.2616e+07 0
202 655 2.2616e+07 0
202 656 2.2616e+07 0
202 657 2.2616e+07 0
202 658 2.2616e+07 0
202 659 2.2616e+07 0
202 660 2.2616e+07 0
202 661 2.2616e+07 0
202 662 2.2616e+07 0
202 663 2.2616e+07 0
202 664 2.2616e+07 0
202 665 2.2616e+07 0
202 666 2.2616e+07 0
202 667 2.2616e+07 0
202 668 2.2616e+07 0
202 669 2.2616e+07 0
202 670 2.2616e+07 0
202 671 2.2616e+07 0
202 672 2.2616e+07 0
202 673 2.2616e+07 0
202 674 2.2616e+07 0
202 675 2.2616e+07 0
202 676 2.2616e+07 0
202 677 2.2616e+07 0
202 678 2.2616e+07 0
202 679 2.2616e+07 0
202 680 2.2616e+07 0
202 681 2.2616e+07 0
202 682 2.2616e+07 0
202 683 2.2616e+07 0
202 684 2.2616e+07 0
202 685 2.2616e+07 0
202 686 2.2616e+07 0
202 687 2.2616e+07 0
202 688 2.2616e+07 0
202 689 2.2616e+07 0
202 690 2.2616e+07 0
202 691 2.2616e+07 0
202 692 2.2616e+07 0
202 693 2.2616e+07 0
202 694 2.2616e+07 0
202 695 2.2616e+07 0
202 696 2.2616e+07 0
202 697 2.2616e+07 0
202 698 2.2616e+07 0
202 699 2.2616e+07 0
202 700 2.2616e+07 0
202 701 2.2616e+07 0
202 702 2.2616e+07 0
202 703 2.2616e+07 0
202 704 2.2616e+07 0
202 705 2.2616e+07 0
202 706 2.2616e+07 0
202 707 2.2616e+07 0
202 708 2.2616e+07 0
202 709 2.2616e+07 0
202 710 2.2616e+07 0
202 711 2.2616e+07 0
202 712 2.2616e+07 0
202 713 2.2616e+07 0
202 714 2.2616e+07 0
202 715 2.2616e+07 0
202 716 2.2616e+07 0
202 717 2.2616e+07 0
202 718 2.2616e+07 0
202 719 2.2616e+07 0
202 720 2.2616e+07 0
202 721 2.2616e+07 0
202 722 2.2616e+07 0
202 723 2.2616e+07 0
